sample_name,included,matches_filter,order_number,sample_date,description
"VL 8735  2-3m, 29/1",No,No,NO2502067,2025-01-29,Utlufting av bunnrensk
"VL 8735 0-1m, 24/1",No,No,NO2501849,2025-01-24,Bunnrensk til utlufting
"VL 8735 0-1m, 25/1",No,No,NO2501849,2025-01-25,Bunnrensk til utlufting
"VL 8735 0-1m, 27/1",No,No,NO2501849,2025-01-27,Bunnrensk til utlufting
"VL 8735 0-1m, 29/1",No,No,NO2502067,2025-01-29,Utlufting av bunnrensk
"VL 8735 1-2m, 24/1",No,No,NO2501849,2025-01-24,Bunnrensk til utlufting
"VL 8735 1-2m, 25/1",No,No,NO2501849,2025-01-25,Bunnrensk til utlufting
"VL 8735 1-2m, 27/1",No,No,NO2501849,2025-01-27,Bunnrensk til utlufting
"VL 8735 2-3m, 24/1",No,No,NO2501849,2025-01-24,Bunnrensk til utlufting
"VL 8735 2-3m, 25/1",No,No,NO2501849,2025-01-25,Bunnrensk til utlufting
"VL 8735 2-3m, 27/1",No,No,NO2501849,2025-01-27,Bunnrensk til utlufting
VL Blandeprøve 1,No,No,NO2417648,2024-08-07,Blandeprøve bunnrenskmasser
Vasket pigget fjell,No,No,NO2325556,2023-10-20,Bare analyse av benzene
